"------------O--O-O-OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","-","O","-","O","X","X","X","X","X"
"------------O--XXXXX--OOO","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","-","X","X","X","X","X","-","-","O","O","O"
"------------O--XXXXX-O-OO","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","-","X","X","X","X","X","-","O","-","O","O"
"------------O--XXXXX-OO-O","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","-","X","X","X","X","X","-","O","O","-","O"
"------------O--XXXXX-OOO-","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","-","X","X","X","X","X","-","O","O","O","-"
"------------O--XXXXXO--OO","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","-","X","X","X","X","X","O","-","-","O","O"
"------------O--XXXXXO-O-O","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","-","X","X","X","X","X","O","-","O","-","O"
"------------O-O---OOXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","-","-","O","O","X","X","X","X","X"
"------------O-O--O-OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","-","O","-","O","X","X","X","X","X"
"------------O-O--OO-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","-","O","O","-","X","X","X","X","X"
"------------O-O-O--OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","O","-","-","O","X","X","X","X","X"
"------------O-O-O-O-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","O","-","O","-","X","X","X","X","X"
"------------O-O-OO--XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","O","O","-","-","X","X","X","X","X"
"------------O-OO---OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","O","-","-","-","O","X","X","X","X","X"
"------------O-OO--O-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","O","-","-","O","-","X","X","X","X","X"
"------------O-OO-O--XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","O","-","O","-","-","X","X","X","X","X"
"------------O-OOO---XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","O","O","-","-","-","X","X","X","X","X"
"------------O-OXXXXX---OO","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","X","X","X","X","X","-","-","-","O","O"
"------------O-OXXXXX--O-O","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","X","X","X","X","X","-","-","O","-","O"
"------------O-OXXXXX--OO-","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","X","X","X","X","X","-","-","O","O","-"
"------------O-OXXXXX-O--O","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","X","X","X","X","X","-","O","-","-","O"
"------------O-OXXXXX-O-O-","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","X","X","X","X","X","-","O","-","O","-"
"------------O-OXXXXX-OO--","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","X","X","X","X","X","-","O","O","-","-"
"------------O-OXXXXXO---O","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","X","X","X","X","X","O","-","-","-","O"
"------------O-OXXXXXO--O-","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","X","X","X","X","X","O","-","-","O","-"
"------------O-OXXXXXO-O--","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","X","X","X","X","X","O","-","O","-","-"
"------------O-OXXXXXOO---","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","X","X","X","X","X","O","O","-","-","-"
"------------OO----OOXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","-","-","-","O","O","X","X","X","X","X"
"------------OO---O-OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","-","-","O","-","O","X","X","X","X","X"
"------------OO---OO-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","-","-","O","O","-","X","X","X","X","X"
